9100	2358	4857087	2358	7643773	2358	5894835	2358	1963845	2358	369348	2358
9101	1726	1955450	1726	2544520	1726	1979735	1726	799045	1726	258490	1726
9102	2064	1874811	2064	2356305	2064	3157136	2064	800402	2064	2060692	2064
9103	1485	1983214	1485	4895393	1485	1655852	1485	839885	1485	263976	1485
9104	1479	2754612	1479	6994031	1479	4157436	1479	1767622	1479	227809	1479
9105	1852	345727	1852	2694794	1852	831126	1852	283383	1852	120147	1852
9106	1987	253579	1987	2658673	1987	1904103	1987	284518	1987	107419	1982
9107	1636	600970	1636	3322879	1636	737756	1636	236840	1636	88306	1633
9108	1664	333976	1664	2144473	1664	740525	1664	687568	1664	62127	1664
9109	1806	1645945	1806	3940868	1806	1020275	1806	332348	1806	129929	1806
9110	2084	415388	2084	3271412	2084	2277643	2084	338223	2084	141257	2084
9111	1454	369810	1454	2154635	1454	671492	1454	602264	1454	108221	1454
9112	1627	1192653	1627	2429589	1627	805709	1627	287374	1627	95565	1627
9113	2087	6865970	2087	3160189	2087	1437144	2087	457414	2087	153949	2087
9114	1778	453257	1778	2515539	1778	868012	1778	663760	1778	106007	1778
9115	1874	1059763	1874	2392616	1874	965399	1874	292522	1874	110855	1874
9116	1634	375462	1634	2569789	1634	735042	1634	382392	1634	107155	1634
9117	1817	1212425	1817	3910318	1817	883918	1817	305535	1817	112517	1817
9118	1921	918123	1921	8390164	1921	2064062	1921	298998	1921	84917	1921
9119	1769	417050	1769	4648300	1769	1255040	1769	275999	1769	103480	1769
9120	1787	721588	1787	2498651	1787	595078	1787	196936	1785	120990	1781
9121	2021	1264585	2021	2666328	2021	749330	2021	202150	2021	77232	2016
9122	1778	308575	1778	1728124	1778	788054	1778	265664	1778	97208	1778
9123	1990	290793	1990	1537601	1990	878069	1990	307961	1990	111511	1990
9124	1470	285790	1470	2058943	1470	426306	1470	138729	1470	50415	1470
9125	2122	229234	2122	1225244	2122	593036	2122	198987	2122	72753	2122
9126	199	155418589	199	163378	199	167954	199	83420	199	32346	199
9127	1201	438729	1201	1545279	1201	344265	1201	111654	1201	47805	1201
9128	1915	179894	1915	1413193	1915	516312	1915	175807	1915	74385	1915
9129	1833	194569	1833	873908	1833	510197	1833	170461	1833	63684	1833
9130	1274	1202016	1274	1327381	1274	373777	1274	126948	1272	52648	1272
9131	1984	153449	1984	1330506	1984	550328	1984	186302	1984	69639	1984
9132	2238	284773	2238	1232129	2238	660912	2238	222165	2238	82984	2238
9133	1948	294320	1948	1892627	1948	554273	1948	189676	1948	69990	1948
9134	1609	863924	1609	2868013	1609	667229	1609	155108	1609	64491	1609
9135	1763	799967	1763	3131286	1763	913351	1763	255597	1763	86725	1763
9136	2017	369232	2017	2861756	2017	595011	2017	200469	2017	243556	2017
9137	1846	348406	1846	2544398	1846	581055	1846	287995	1845	92234	1845
9138	2011	464347	2011	2636891	2011	992089	2011	324057	2011	123124	2011
9139	1821	387427	1821	2705089	1821	531753	1821	177876	1821	66466	1821
9140	2167	274997	2167	1348105	2167	1165195	2167	263045	2167	84714	2167
9141	1860	242591	1860	1367978	1860	547384	1860	180153	1860	68540	1860
9142	1439	329939	1439	1576165	1439	454391	1439	179962	1439	58205	1439
9143	1641	636055	1641	2308419	1641	624823	1641	156904	1641	109323	1641
9144	1776	202261	1776	2069907	1776	816501	1776	204139	1774	59094	1774
9145	1995	545225	1995	2244018	1995	913480	1995	286207	1995	118094	1995
9146	2008	253406	2008	1263597	2008	566299	2008	189866	2008	80570	2005
9147	1381	655908	1381	1672254	1381	517648	1381	309910	1380	93873	1380
9148	1771	296460	1771	2009546	1771	702702	1771	162785	1771	73467	1771
9149	1873	159945	1873	1758267	1873	616385	1873	176088	1873	63867	1870
