9550	4068	0	0	81856227	4068	44564565	4068	3536756	4068	1201984	4068
9551	4454	0	0	78608787	4454	3096439	4454	2632771	4454	882051	4454
9552	5023	0	0	61696384	5023	4847222	5023	4803603	5023	1646064	5023
9553	5386	0	0	116310621	5386	3128886	5386	3034853	5386	1049674	5386
9554	4995	0	0	28661341	4995	3003200	4995	3504324	4995	1335505	4995
9555	3617	0	0	44137021	3617	3254892	3617	3127165	3617	1095819	3615
9556	4569	0	0	72683769	4569	4383480	4569	4417233	4569	1490061	4569
9557	4660	0	0	37099598	4660	2951265	4660	2858564	4660	975522	4660
9558	4449	0	0	30254653	4449	2639202	4449	3719210	4449	1347539	4449
9559	4069	0	0	46076471	4069	2450293	4069	2446816	4069	1249261	4069
9560	4587	0	0	42795753	4587	4038886	4587	4113506	4587	1384405	4586
9561	4544	0	0	40484077	4544	3846927	4544	3455443	4544	1346111	4544
9562	4245	0	0	37257639	4245	2430356	4245	2406478	4245	807764	4245
9563	3761	0	0	26811477	3761	2242323	3761	2233189	3761	1130127	3761
9564	4231	0	0	40434288	4231	3495337	4231	3479652	4231	895869	4231
9565	4656	0	0	52324095	4656	3895567	4656	4380563	4656	1314076	4656
9566	5039	0	0	48659757	5039	3773505	5039	3874251	5039	2224130	5039
9567	599	0	0	2351525	599	1031732	599	507800	599	113578	599
9568	4772	0	0	41227275	4772	4243300	4772	4181292	4772	1023396	4772
9569	4473	0	0	37948672	4473	3667763	4473	3612504	4473	1293810	4473
9570	4479	0	0	46085394	4479	2601581	4479	2541996	4479	861138	4479
9571	4311	0	0	43378701	4311	3632210	4311	3778596	4311	1239187	4311
9572	4562	0	0	44451314	4562	2713650	4562	2885637	4562	2346834	4562
9573	4738	0	0	37236010	4738	3863526	4738	3959928	4738	1827364	4738
9574	4876	0	0	42720627	4876	2728359	4876	3010474	4876	1371683	4876
9575	5061	0	0	40254462	5061	3983805	5061	4430926	5061	1411883	5061
9576	5063	0	0	44305073	5063	4743067	5063	4720212	5063	1626837	5063
9577	4870	0	0	37534303	4870	2931314	4870	3501138	4870	1097608	4869
9578	5232	0	0	27561655	5232	3528940	5232	3316174	5232	1062954	5232
9579	4567	0	0	34935462	4567	2637676	4567	2644744	4567	879328	4567
9580	4483	0	0	35181939	4483	4088952	4483	4171720	4483	2870428	4483
9581	4907	0	0	40096108	4907	4240967	4907	3696143	4907	1458135	4907
9582	5088	0	0	42692387	5088	2800554	5088	3047267	5088	1249226	5088
9583	4192	0	0	30522919	4192	2317690	4192	2323752	4192	776726	4192
9584	5210	0	0	44871020	5210	2945146	5210	2954932	5210	977435	5210
9585	4667	0	0	26891556	4667	2613782	4667	2735948	4667	884737	4667
9586	4700	0	0	38112288	4700	3787068	4700	4045296	4700	1448000	4700
9587	5043	0	0	43938465	5043	4251651	5043	4085925	5043	1376753	5043
9588	4805	0	0	40420136	4805	4444592	4805	4430753	4805	1553039	4805
9589	4614	0	0	29290916	4614	4294931	4614	4256987	4614	1476266	4614
9590	5157	0	0	40412994	5157	4127666	5157	4000207	5157	2141116	5157
9591	4522	0	0	47434683	4522	3992126	4522	3984494	4522	1634836	4521
9592	4366	0	0	80313775	4366	4058749	4366	4592231	4366	1092523	4366
9593	4994	0	0	42260496	4994	3052129	4994	3705799	4994	1426999	4994
9594	4215	0	0	52630217	4215	3670258	4215	3769876	4215	2156425	4215
9595	4373	0	0	50036507	4373	3129137	4373	3127128	4373	1191816	4373
9596	4244	0	0	45291248	4244	4046922	4244	4045529	4244	1377092	4244
9597	4864	0	0	54153569	4864	4233083	4864	3038375	4864	981501	4864
9598	4814	0	0	32671712	4814	2902466	4814	3046397	4814	956980	4814
9599	3884	0	0	43423723	3884	3446284	3884	3222033	3884	1069800	3882
